es,cn,pos
molestar,打扰、麻烦,tr.
en abusoluto,绝不,loc.adv.
pensar,想、思考,tr.
trabajo,作业、文章、工作、小论文,m.
sobre,关于,prep.
América Latina,拉丁美洲,区域名称
prestar,给予、借出,tr.
interesante,令人感兴趣的,adj.
tema,题材、主题,m.
escribir,写,tr.
papel,纸,m.
título,题目,m.
necesitar,需要,tr.
lista,单子,f.
estudio,书房、学习、研究,m.
¡Qué maravilla!,太棒了！,感叹句
cuántos/tas,这么、如此,adj.
lleno/na,装满的,adj.
surtido/da,丰富的,adj.
porque,因为（引导原因状语从句）,conj.
hábito,习惯,m.
sobre todo,特别、尤其是,loc.adv.
obra,作品、著作,f.
literario/ria,文学的,adj.
librería,书店,f.
vez,次数,f.
Internet,因特网,m.f.
sistema,制度、方法,m.
